City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
294,Shache,CN,38.4167,77.2406,33.6,82,0,3.44,clear sky
295,Christchurch,NZ,-43.5333,172.6333,68.0,64,40,18.41,scattered clouds
296,Biak,ID,-0.9131,122.8766,77.68,86,100,10.58,moderate rain
297,Ahipara,NZ,-35.1667,173.1667,72.72,52,0,3.4,clear sky
298,Cravo Norte,CO,6.3017,-70.2041,85.26,45,28,5.79,scattered clouds
299,Dhidhdhoo,MV,6.8833,73.1,79.83,62,100,4.63,overcast clouds
300,Viedma,AR,-40.8135,-62.9967,71.01,81,100,18.07,overcast clouds
301,Amurzet,RU,47.6967,131.0981,20.8,94,24,1.59,few clouds
302,Parakou,BJ,9.3372,2.6303,73.94,19,0,2.95,clear sky
303,Bethel,US,41.3712,-73.414,28.4,30,90,3.44,overcast clouds
304,Sangin,AF,32.0728,64.8359,54.88,36,0,3.89,clear sky
305,Veraval,IN,20.9,70.3667,68.76,47,1,8.81,clear sky
306,Hithadhoo,MV,-0.6,73.0833,82.24,73,95,11.59,overcast clouds
307,Opuwo,NA,-18.0607,13.84,62.92,82,100,5.26,overcast clouds
308,Usinsk,RU,65.9939,57.5281,-17.14,88,100,3.27,overcast clouds
309,Moratuwa,LK,6.773,79.8816,73.4,88,2,5.75,clear sky
310,Zemio,CF,5.0314,25.1361,67.73,31,0,2.21,clear sky
311,Tautira,PF,-17.7333,-149.15,86.0,65,75,20.71,light rain
312,Beloha,MG,-25.1667,45.05,75.69,74,97,12.41,overcast clouds
313,Airai,TL,-8.9266,125.4092,71.15,88,22,2.15,heavy intensity rain
314,Kamaishi,JP,39.2667,141.8833,30.2,80,75,3.44,broken clouds
315,Tsogni,GA,-2.7942,10.0988,78.06,87,100,6.31,light rain
316,Funtua,NG,11.5233,7.3081,66.42,24,0,10.04,clear sky
317,Moravita,RO,45.2558,21.2703,12.2,85,3,4.61,clear sky
318,Ostrovnoy,RU,68.0531,39.5131,0.37,91,100,7.58,overcast clouds
319,San Rafael,AR,-34.6177,-68.3301,69.8,56,75,21.85,heavy intensity rain
320,Wadi Maliz,TN,36.4681,8.5495,51.8,93,20,2.3,few clouds
321,Muzhi,RU,65.3667,64.6667,-16.98,88,100,2.21,overcast clouds
322,Gravelbourg,CA,49.8834,-106.5512,-16.6,63,94,6.91,overcast clouds
323,San Patricio,US,28.017,-97.5169,39.2,87,90,16.11,overcast clouds
324,Tuzha,RU,57.6062,47.936,7.59,95,100,10.92,snow
325,Rocha,UY,-34.4833,-54.3333,67.55,95,100,5.7,light rain
326,Bay Roberts,CA,47.5999,-53.2648,30.99,83,100,8.01,overcast clouds
327,Nador,MA,35.174,-2.9287,60.8,59,0,12.66,clear sky
328,Yumen,CN,40.2833,97.2,35.11,71,93,15.97,overcast clouds
329,Noumea,NC,-22.2763,166.4572,87.8,62,40,9.22,scattered clouds
330,Celestun,MX,20.8667,-90.4,75.78,86,6,5.66,clear sky
331,Mayo,US,38.8876,-76.5119,30.99,64,90,3.44,overcast clouds
332,Muroto,JP,33.2833,134.15,55.4,67,75,8.05,broken clouds
333,Yara,CU,20.2753,-76.9533,75.09,73,9,1.74,clear sky
